"dataset","region","estimand","scale","variant","method","metric","observed","bootstrap_mean","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","article_default","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","article_default","Mean-ISI","f1",0.493294460641399,0.49302688719273,0.466628941768234,0.515053328784319,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","article_default","LogISI/newBD","precision",0.189941625505164,0.189824824521909,0.172132354579691,0.206682560791981,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","article_default","LogISI/newBD","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","article_default","LogISI/newBD","f1",0.319245283018868,0.31899115066281,0.293708050743227,0.342563262486404,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","harmonized_4_spikes","Mean-ISI","precision",0.336783439490446,0.336652020063908,0.312983758195059,0.354762506928839,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","harmonized_4_spikes","Mean-ISI","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","harmonized_4_spikes","Mean-ISI","f1",0.503871351995235,0.503637349232494,0.476751909897764,0.523726490926116,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","harmonized_4_spikes","LogISI/newBD","precision",0.189601075750784,0.189571487596783,0.172524322421073,0.207364056654454,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","harmonized_4_spikes","LogISI/newBD","recall",1,1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","harmonized_4_spikes","LogISI/newBD","f1",0.318764129615674,0.318636113591345,0.29427845396187,0.343498804915165,1000,"Template_ID"
"real_GPe","GPe","reviewed_manual_reference","observed","article_default","Mean-ISI","precision",0.0860161384244239,0.0895660787187166,0.0148523922939851,0.219728282394061,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","article_default","Mean-ISI","recall",0.621767889356584,0.594819542453051,0.34937792836311,0.770636350870624,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","article_default","Mean-ISI","f1",0.15112540192926,0.151264086518452,0.0285994066923738,0.337070124754032,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","article_default","LogISI/newBD","precision",0.0717529518619437,0.0747612811093768,0.0158747314905759,0.170563881428953,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","article_default","LogISI/newBD","recall",0.997594708358388,0.997735755938751,0.994994002703213,1,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","article_default","LogISI/newBD","f1",0.133876694641704,0.136523521308421,0.0312532643621285,0.291276597133178,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","harmonized_4_spikes","Mean-ISI","precision",0.0795586010501023,0.0816401776037844,0.0140512458796334,0.199218376356819,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","harmonized_4_spikes","Mean-ISI","recall",0.53758268190018,0.514729265838222,0.286703239239131,0.675028943422726,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","harmonized_4_spikes","Mean-ISI","f1",0.138604651162791,0.13688844423724,0.0267119981522149,0.299186849413201,1000,"train"
"real_GPe","GPe","reviewed_manual_reference","observed","harmonized_4_spikes","LogISI/newBD","precision",0.0717126307599205,0.0737018450713701,0.017145382822272,0.16282686954826,1000,"train"
