"dataset","region","estimand","scale","method","variant","iou_threshold","train_n","cluster_n","tp","fp","fn","truth_event_n","predicted_event_n","precision","recall","f1","mean_matched_iou","fragmentation_rate","merge_rate"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","article_default",0.5,15,15,4,78,67,71,82,0.048780487804878,0.0563380281690141,0.0522875816993464,0.618181818181818,0,0.195121951219512
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","harmonized_4_spikes",0.1,15,15,47,42,24,71,89,0.528089887640449,0.661971830985915,0.5875,0.253614519507256,0,0.179775280898876
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","harmonized_4_spikes",0.25,15,15,18,71,53,71,89,0.202247191011236,0.253521126760563,0.225,0.391548988572407,0,0.179775280898876
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","LogISI/newBD","harmonized_4_spikes",0.5,15,15,5,84,66,71,89,0.0561797752808989,0.0704225352112676,0.0625,0.594545454545454,0,0.179775280898876
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","article_default",0.1,15,15,56,49,15,71,105,0.533333333333333,0.788732394366197,0.636363636363636,0.463996436273698,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","article_default",0.25,15,15,47,58,24,71,105,0.447619047619048,0.661971830985915,0.534090909090909,0.517891466854172,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","article_default",0.5,15,15,27,78,44,71,105,0.257142857142857,0.380281690140845,0.306818181818182,0.653797539908651,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","harmonized_4_spikes",0.1,15,15,56,31,15,71,87,0.64367816091954,0.788732394366197,0.708860759493671,0.463996436273698,0,0.149425287356322
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","harmonized_4_spikes",0.25,15,15,47,40,24,71,87,0.540229885057471,0.661971830985915,0.59493670886076,0.517891466854172,0,0.149425287356322
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","1x","Mean-ISI","harmonized_4_spikes",0.5,15,15,27,60,44,71,87,0.310344827586207,0.380281690140845,0.341772151898734,0.653797539908651,0,0.149425287356322
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","article_default",0.1,15,15,64,33,7,71,97,0.65979381443299,0.901408450704225,0.761904761904762,0.714969051794008,0,0.0309278350515464
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","article_default",0.25,15,15,55,42,16,71,97,0.56701030927835,0.774647887323944,0.654761904761905,0.803374479056297,0,0.0309278350515464
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","article_default",0.5,15,15,49,48,22,71,97,0.505154639175258,0.690140845070423,0.583333333333333,0.863966192537621,0,0.0309278350515464
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","harmonized_4_spikes",0.1,15,15,70,53,1,71,123,0.56910569105691,0.985915492957746,0.721649484536083,0.765068179450996,0.0140845070422535,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","harmonized_4_spikes",0.25,15,15,63,60,8,71,123,0.51219512195122,0.887323943661972,0.649484536082474,0.832592781997544,0.0140845070422535,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","LogISI/newBD","harmonized_4_spikes",0.5,15,15,58,65,13,71,123,0.471544715447154,0.816901408450704,0.597938144329897,0.875715280887695,0.0140845070422535,0
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","article_default",0.1,15,15,56,49,15,71,105,0.533333333333333,0.788732394366197,0.636363636363636,0.463996436273698,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","article_default",0.25,15,15,47,58,24,71,105,0.447619047619048,0.661971830985915,0.534090909090909,0.517891466854172,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","article_default",0.5,15,15,27,78,44,71,105,0.257142857142857,0.380281690140845,0.306818181818182,0.653797539908651,0,0.123809523809524
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","harmonized_4_spikes",0.1,15,15,56,31,15,71,87,0.64367816091954,0.788732394366197,0.708860759493671,0.463996436273698,0,0.149425287356322
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","harmonized_4_spikes",0.25,15,15,47,40,24,71,87,0.540229885057471,0.661971830985915,0.59493670886076,0.517891466854172,0,0.149425287356322
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","Mean-ISI","harmonized_4_spikes",0.5,15,15,27,60,44,71,87,0.310344827586207,0.380281690140845,0.341772151898734,0.653797539908651,0,0.149425287356322
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","article_default",0.1,15,15,18,1,57,75,19,0.947368421052632,0.24,0.382978723404255,0.714726631393298,0,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","article_default",0.25,15,15,18,1,57,75,19,0.947368421052632,0.24,0.382978723404255,0.714726631393298,0,0
