"region","method_a","method_b","iou_threshold","train_n","group_n","a_event_n","b_event_n","matched_event_n","a_event_recovery","b_event_recovery","event_f1","mean_matched_iou","a_isi_n","b_isi_n","overlapping_isi_n","union_isi_n","a_isi_coverage","b_isi_coverage","isi_jaccard","isi_dice"
"GPI","Mean-ISI","STPD",0.1,21,13,1128,735,418,0.370567375886525,0.568707482993197,0.44873859366613,0.58356228671908,7631,5074,2088,10617,0.273620757436771,0.411509657075286,0.196665724781012,0.328689492325856
"GPI","Mean-ISI","STPD",0.25,21,13,1128,735,361,0.320035460992908,0.491156462585034,0.387546967257112,0.649359111824916,7631,5074,2088,10617,0.273620757436771,0.411509657075286,0.196665724781012,0.328689492325856
"GPI","Mean-ISI","STPD",0.5,21,13,1128,735,233,0.206560283687943,0.317006802721088,0.250134192163178,0.813137525933537,7631,5074,2088,10617,0.273620757436771,0.411509657075286,0.196665724781012,0.328689492325856
"STN","LogISI/newBD","STPD",0.1,23,13,463,1763,361,0.779697624190065,0.204764605785593,0.324348607367475,0.41870432481014,15413,8151,7953,15611,0.515992992928048,0.975708502024291,0.50944846582538,0.675012731285011
"STN","LogISI/newBD","STPD",0.25,23,13,463,1763,206,0.444924406047516,0.116846284741917,0.185085354896676,0.611492147198001,15413,8151,7953,15611,0.515992992928048,0.975708502024291,0.50944846582538,0.675012731285011
"STN","LogISI/newBD","STPD",0.5,23,13,463,1763,115,0.248380129589633,0.0652297220646625,0.103324348607367,0.814072594072594,15413,8151,7953,15611,0.515992992928048,0.975708502024291,0.50944846582538,0.675012731285011
"STN","Mean-ISI","LogISI/newBD",0.1,23,13,1604,463,362,0.22568578553616,0.781857451403888,0.350266086115143,0.421082768889097,8160,15413,7961,15612,0.975612745098039,0.516512035294881,0.50992826031258,0.675433758961524
"STN","Mean-ISI","LogISI/newBD",0.25,23,13,1604,463,230,0.143391521197007,0.496760259179266,0.222544750846638,0.56962055325685,8160,15413,7961,15612,0.975612745098039,0.516512035294881,0.50992826031258,0.675433758961524
"STN","Mean-ISI","LogISI/newBD",0.5,23,13,1604,463,124,0.0773067331670823,0.267818574514039,0.119980648282535,0.753567284834425,8160,15413,7961,15612,0.975612745098039,0.516512035294881,0.50992826031258,0.675433758961524
"STN","Mean-ISI","STPD",0.1,23,13,1604,1763,1297,0.80860349127182,0.735677821894498,0.77041877041877,0.818392850811951,8160,8151,5892,10419,0.722058823529412,0.722856091277144,0.565505326806795,0.722457237447122
"STN","Mean-ISI","STPD",0.25,23,13,1604,1763,1263,0.787406483790524,0.716392512762337,0.75022275022275,0.835599139814702,8160,8151,5892,10419,0.722058823529412,0.722856091277144,0.565505326806795,0.722457237447122
"STN","Mean-ISI","STPD",0.5,23,13,1604,1763,1104,0.688279301745636,0.62620533182076,0.655776655776656,0.903446552353181,8160,8151,5892,10419,0.722058823529412,0.722856091277144,0.565505326806795,0.722457237447122
