"dataset","region","estimand","scale","method","configuration","iou_threshold","train_n","cluster_n","tp","fp","fn","truth_event_n","predicted_event_n","precision","recall","f1","mean_matched_iou","fragmentation_rate","merge_rate"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","STPD","current_automatic",0.25,15,15,75,91,0,75,166,0.451807228915663,1,0.622406639004149,0.805253968253968,0.133333333333333,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","STPD","current_automatic",0.5,15,15,69,97,6,75,166,0.41566265060241,0.92,0.572614107883818,0.838969404186796,0.133333333333333,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","article_default",0.1,15,15,47,31,28,75,78,0.602564102564103,0.626666666666667,0.61437908496732,0.236825354957733,0,0.243589743589744
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","article_default",0.25,15,15,15,63,60,75,78,0.192307692307692,0.2,0.196078431372549,0.379913176341278,0,0.243589743589744
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","article_default",0.5,15,15,3,75,72,75,78,0.0384615384615385,0.04,0.0392156862745098,0.612121212121212,0,0.243589743589744
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","article_default",0.1,15,15,58,44,17,75,102,0.568627450980392,0.773333333333333,0.655367231638418,0.447762358495577,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","article_default",0.25,15,15,47,55,28,75,102,0.46078431372549,0.626666666666667,0.531073446327684,0.508914510004875,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","article_default",0.5,15,15,26,76,49,75,102,0.254901960784314,0.346666666666667,0.293785310734463,0.648240114586269,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","current_automatic",0.1,15,15,75,91,0,75,166,0.451807228915663,1,0.622406639004149,0.801021164021164,0.133333333333333,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","current_automatic",0.25,15,15,74,92,1,75,166,0.44578313253012,0.986666666666667,0.614107883817427,0.810344272844273,0.133333333333333,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","current_automatic",0.5,15,15,69,97,6,75,166,0.41566265060241,0.92,0.572614107883818,0.838969404186796,0.133333333333333,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","article_default",0.1,15,15,66,29,9,75,95,0.694736842105263,0.88,0.776470588235294,0.71204266441838,0,0.0315789473684211
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","article_default",0.25,15,15,56,39,19,75,95,0.589473684210526,0.746666666666667,0.658823529411765,0.808563138250639,0,0.0315789473684211
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","article_default",0.5,15,15,51,44,24,75,95,0.536842105263158,0.68,0.6,0.856882551000198,0,0.0315789473684211
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","article_default",0.1,15,15,58,44,17,75,102,0.568627450980392,0.773333333333333,0.655367231638418,0.447762358495577,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","article_default",0.25,15,15,47,55,28,75,102,0.46078431372549,0.626666666666667,0.531073446327684,0.508914510004875,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","article_default",0.5,15,15,26,76,49,75,102,0.254901960784314,0.346666666666667,0.293785310734463,0.648240114586269,0,0.147058823529412
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","current_automatic",0.1,15,15,75,91,0,75,166,0.451807228915663,1,0.622406639004149,0.801021164021164,0.133333333333333,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","current_automatic",0.25,15,15,74,92,1,75,166,0.44578313253012,0.986666666666667,0.614107883817427,0.810344272844273,0.133333333333333,0
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","current_automatic",0.5,15,15,69,97,6,75,166,0.41566265060241,0.92,0.572614107883818,0.838969404186796,0.133333333333333,0
