"dataset","region","estimand","scale","method","iou_threshold","metric","observed","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD",0.1,"precision",0.740716180371353,0.622466220165042,0.828972230722154,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD",0.1,"recall",0.605420054200542,0.501518046476068,0.72836273695499,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD",0.1,"f1",0.666269012824336,0.572707207883153,0.760813525605145,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD",0.25,"precision",0.707559681697613,0.587659550306609,0.807878163182195,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD",0.25,"recall",0.578319783197832,0.465849197541886,0.715029486400316,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD",0.25,"f1",0.636444974649568,0.530318273458058,0.74553841025396,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD",0.5,"precision",0.566976127320955,0.436991463251967,0.695544979042481,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD",0.5,"recall",0.463414634146341,0.339989286887488,0.626115285870964,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","LogISI/newBD",0.5,"f1",0.509991052788548,0.388424471261916,0.656621201195165,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI",0.1,"precision",0.826140567200986,0.589287669587332,0.952574505570858,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI",0.1,"recall",0.726287262872629,0.671145701228143,0.76692459662999,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI",0.1,"f1",0.77300259590424,0.638534426030071,0.838717776464055,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI",0.25,"precision",0.821208384710234,0.582473321827303,0.949412628585217,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI",0.25,"recall",0.721951219512195,0.664759625697126,0.763632062987958,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI",0.25,"f1",0.76838765503317,0.634422667164117,0.836119324017304,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI",0.5,"precision",0.773119605425401,0.547160348188547,0.905032840722496,1000,"Group_ID"
"real_STN","STN","reviewed_manual_reference","observed","Mean-ISI",0.5,"recall",0.679674796747967,0.624197501385366,0.732170492546049,1000,"Group_ID"
