"dataset","region","estimand","scale","method","metric","observed","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","f1",0.495423340961098,0.476663083478506,0.513605488079172,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","precision",0.507060333761232,0.473239249924886,0.54545155895353,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","recall",0.912240184757506,0.882781429700189,0.939106496904927,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","f1",0.651815181518152,0.623812936641773,0.682390609078089,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","precision",0.428571428571429,0.357279859982267,0.519131663703668,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","recall",0.928406466512702,0.867788461538462,0.9728460404663,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","f1",0.586433260393873,0.510383931607484,0.671596200676351,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","precision",0.329277566539924,0.312736489514622,0.345587064443612,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","f1",0.495423340961098,0.476464990483823,0.513659908817538,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","precision",0.507060333761232,0.469830448558686,0.543045294952775,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","recall",0.912240184757506,0.882220486346964,0.941172857349328,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","f1",0.651815181518152,0.61995501921821,0.679494718743175,1000,"Template_ID"
